number,name,author,copyright,copydate,lyrics
340,The Power Of The Cross,"Keith Getty, Stuart Townend",Thankyou,2005,"Verse 1: 
O, to see the dawn, of the darkest day
Christ on the road to Calvary
Tried by sinful men, torn and beaten then
Nailed to a cross of wood

Chorus:
This the power of the cross
Christ became sin for us
Took the blame, bore the wrath
We stand forgiven at the cross

Verse 2:
O, to see the pain written on Your face
Bearing the awesome weight of sin
Every bitter thought, every evil deed
Crowning Your bloodstained brow

Verse 3:
Now the daylight flees, now the ground beneath
Quakes as its Maker bows His head
Curtain torn in two, dead are raised to life
 “Finished!�? the victory cry

Verse 4:
O, to see my name, written in the wounds
For through Your suffering I am free
Death is crushed to death, life is mine to live
Won through Your selfless love

Ending:
This the power, of the cross
Son of God slain for us
What a love, what a cost
We stand forgiven at the cross"
341,By His Wounds,Mac Powell,Consuming Fire Music,,"Verse:
He was pierced for our transgressions
He was crushed for our sins
The punishment that brought us peace
Was upon Him
And by His wounds
By His wounds, we are healed

Chorus:
We are healed by Your sacrifice
And the life that You gave
We are healed for You paid the price
By Your grace, we are saved
We are saved

Ending:
What can wash away my sin
Nothing but the blood of Jesus"
342,From the Rising of the Sun,Paul Deming,Integrity's Hosanna! Music,1976,"Verse:
From the rising of the sun
To the going down of the same
The name of the Lord shall be praised (2x)

Chorus:
Praise ye the Lord
Praise ye the Lord
"
343,"Holy, Holy, Holy (The Earth Is Filled)",Larry Hampton,Vineyard,1994,"Verse 1:
The earth is filled with Your glory
We stand in awe of Your majesty
Behold the splendor of the King
And join the angels as they sing

Chorus:
Holy, Holy, Holy
Is the Lamb of God
Honor, praise and glory
Are Yours, oh Lord, forever

Verse 2:
As we gaze at Your beauty
We cannot help falling on our knees
We have come to adore our King
And join the angels as they sing"
344,"Yesterday, Today, and Forever",Vicky Beeching,Thankyou,2002,"Verse 1:
Everlasting God
The years go by, but You're unchanging
In this fragile world
You are the only firm foundation

Pre-Chorus:
Always loving, always true
Always merciful and good, so good

Chorus:
Yesterday, today, and forever
You are the same, You never change
Yesterday, today, and forever
You are faithful, and we will trust in You

Verse 2:
Uncreated One
You have no end and no beginning
Earthly powers fade
But there is no end to Your kingdom

Bridge:
Yahweh, God unchanging
Yahweh, firm foundation
Yahweh, God unchanging
Yahweh, firm foundation"
345,Hosanna,Brooke Fraser,Hillsong,2006,"Verse 1:
I see the King of Glory 
Coming on the clouds with fire
The whole earth shakes
The whole earth shakes

Verse 2:
I see His love and mercy 
Washing over all our sin
The people sing, the people sing

Chorus:
Hosanna, Hosanna
Hosanna in the highest
Hosanna, Hosanna
Hosanna in the highest

Verse 3:
I see a generation 
Rising up to take their place
With selfless faith, with selfless faith

Verse 4:
I see a near revival 
Stirring as we pray and seek
We're on our knees, We're on our knees

Bridge:
Heal my heart and make it clean
Open up my eyes to the things unseen
Show me how to love like You have loved me

Bridge 2:
Break my heart for what breaks Yours
Everything I am for Your Kingdom's cause
As I walk from earth into eternity"
371,Our God,"Matt Redman, Jonas Myrin, Chris Tomlin, J. Reeves",Thankyou/worshiptogether.com/sixsteps,2010,"Verse 1:
Water you turned into wine
Opened the eyes of the blind
There's no one like You
None like You

Verse 2:
Into the darkness You shine
Out of the ashes we rise
There's no one like You
None like You

Chorus:
Our God is greater
Our God is stronger
God You are higher than any other
Our God is Healer
Awesome in power
Our God, Our God

Bridge:
And if our God is for us then who could ever stop us
And if our God is with us then what could stand against?

Bridge (part 2):
And if our God is for us then who could ever stop us
And if our God is with us then what could stand against?
What could stand against?"
372,The Old Rugged Cross,George Bennard,Public Domain,1913,"Verse 1:
On a hill far away stood an old rugged cross,
The emblem of suffering and shame;
And I love that old cross where the dearest and best
For a world of lost sinners was slain.

Chorus:
So I'll cherish the old rugged cross,
Till my trophies at last I lay down;
I will cling to the old rugged cross,
And exchange it some day for a crown.

Verse 2:
O that old rugged cross, so despised by the world,
Has a wondrous attraction for me;
For the dear Lamb of God left His glory above
To bear it to dark Calvary.

Verse 3:
In that old rugged cross, stained with blood so divine,
A wondrous beauty I see,
For 'twas on that old cross Jesus suffered and died,
To pardon and sanctify me.

Verse 4:
To the old rugged cross I will ever be true;
Its shame and reproach gladly bear;
Then He'll call me some day to my home far away,
Where His glory forever I'll share."
347,Come Let Us Worship and Bow Down,Dave Doherty,Maranatha,1980,"Come, let us worship and bow down
Let us kneel before the Lord, our God, our Maker
Come, let us worship and bow down
Let us kneel before the Lord, our God, our Maker
For He is our God
And we are the people of His pasture
And the sheep of His hand
Just the sheep of His hand
"
348,Be Still,David J. Evans,Thankyou Music,1986,"Verse 1:
Be still, for the presence of the Lord,
The Holy One is here.
Come, bow before Him now,
With reverence and fear.
In Him no sin is found,
We stand on holy ground.
Be still, for the presence of the Lord,
The Holy One is here.

Verse 2:
Be still, for the glory of the Lord
Is shining all around;
He burns with holy fire,
With splendor He is crowned.
How awesome is the sight,
Our radiant King of light!
Be still, for the glory of the Lord
Is shining all around.

Verse 3:
Be still, for the power of the Lord
Is moving in this place,
He comes to cleanse and heal,
To minister His grace,
No work too hard for Him,
In faith receive from Him;
Be still, for the power of the Lord
Is moving in this place.
"
349,Overflow,"Chris Tomlin, Daniel Carson, Jesse Reeves",worshiptogether.com,2002,"Verse 1 (part 1):
Here I bring my stains and crowns
Gentle river wash me now
Your love is deeper than I know
Your ways higher than I can go

Verse 1 (part 2):
Lead me in Your holiness
I will follow, I confess
Glory is the song I sing
Your life is living me

Chorus:
And where would I be
Without You, without You
Where would I be
Without You

Verse 2 (part 1):
I will bow before the cross
Cherish my Redeemer's cost
There is nothing I can do
But only stand amazed by You

Verse 2 (part 2):
Mercy new with every day
Wrapped up in Your arms of grace
Nothing more, You're all I need
Your life is living me

Bridge (part 1):
Like a waterfall
You fill my heart and overflow
Like a candle flame
You light my way
And lead me as I go

Bridge (part 2):
Like a waterfall
You fill my heart and overflow
Like a candle flame
You light my way
And lead me as I go
Lead me as I go
Where would I be, without You, without You

Bridge (part 3):
Spirit overflow, let me overflow
Spirit overflow, let me overflow

Let me overflow..."
350,How Can I Keep From Singing,"Matt Redman, Chris Tomlin, Ed Cash",worshiptogether.com songs,2006,"Verse:
There is an endless song,
echoes in my soul
I hear the music ring
And though the storms may come,
I am holding on,
and to the rock I cling.


Chorus:
How can I keep from singing Your praise?
How can I ever say enough?
how amazing is Your love?
How can I keep from shouting Your name?
I know I am loved by the King
and it makes my heart want to sing


Verse 2:
I will lift my eyes
in the darkest night
for I know my Savior lives
and I will walk with You
knowing You see me through
and sing the songs You give


Bridge:
I can sing in the troubled times,
sing when I win.
I can sing when I lose my step,
and I fall down again.
I can sing 'cause You pick me up,
sing 'cause You're there
I can sing 'cause You hear me Lord,
when I call to You in prayer
I can sing with my last breath
sing for I know
that I'll sing with the angels,
and the saints around the throne.
"
351,Create In Me A Clean Heart,Andy Gilbert,One Way Ministries,1988,"Verse: 
Create in me a clean heart, O God
And renew a right spirit within me
Create in me a clean heart, O God
And renew a right spirit within me

Chorus:
Cast me not away from Thy presence, O Lord
And take not Thy Holy Spirit from me
Restore unto me the joy of Thy salvation
And renew a right spirit within me"
352,Jesus Messiah,"Chris Tomlin, Daniel Carson, Ed Cash, Jesse Reeves",worshiptogether.com / sixsteps,2008,"Verse 1:
He became sin, who knew no sin
That we might become His righteousness
He humbled Himself, and carried the cross
Love so amazing
Love so amazing

Chorus:
Jesus, Messiah, Name above all names
Blessed Redeemer, Emmanuel
The Rescue for sinners
The Ransom from heaven
Jesus, Messiah, Lord of all

Verse 2:
His body the bread, His blood the wine
Broken and poured out, all for love
The whole earth trembled, and the veil was torn
Love so amazing
Love so amazing

Bridge:
All our hope is in You
All our hope is in You
All the glory to You, God
The Light of the world

Ending:
Jesus, Messiah, Lord of all
The Lord of all
"
353,Faithful One,Brian Doerksen,Mercy/Vineyard Publishng,1990,"Verse 1:
Faithful one, so unchanging
Ageless one, you're my rock of peace
Lord of all I depend on you
I call out to you, again and again
I call out to you, again and again

Chorus:
You are my rock in times of trouble
You lift me up, when I fall down
All through the storm
Your love is, the anchor
My hope is in You alone"
354,Dry Bones,Matt Ford,Front Room,2002,"Verse 1:
Humbly I Come To You
Asking For Mercy Lord
I Must Have More Of You
And Less Of Me In This Life

Pre-Chorus
I Recognize My Need For You, Oh Lord
Yes I Recognize My Need For You, Oh Lord

Chorus:
Please Breathe On These Dry Bones
Replace This Heart Of Stone
I Don't Deserve It Lord
But Your Grace Will Give To Me New Life

Verse 2:
Jesus I Look To You
For Ways Of Life And Truth
Please Let Your Kingdom Come
In Every Part Of Life

Bridge:
With Joy Restored And Heart Made New
I Will Stand And Walk Again"
355,All Of The Words,Kutless,BEC Recordings,2004,"Verse 1:
How do I speak of the indescribable to You
I will try to explain these feelings that are true
So looking to the sky I will sing
And from my heart to You I bring

Chorus:
All of the words in all of my life
That could never explain and never describe
All of my love, which is nothing to hide
So I lift up my hands and I worship 
I worship You

Verse 2:
In your presence I forever choose to live
I will praise You for it's all I have to give
So looking to the sky I will sing
And from my heart to You I bring

Bridge:
By Your grace You let me come talk to You
It's not that I'm worthy I thank you Jesus
For the love that You have shown"
356,Psalm 19,Unknown,Unknown,,"Verse 1:
May the words of my mouth
And the meditations of my heart
Be pleasing to You, pleasing to You
May the words of my mouth
And the meditations of my heart
Be pleasing to You my God

Chorus:
You're my Rock and my Redeemer
You're the reason that I sing
I desire to be a blessing
In Your eyes
Every hour, every moment
Lord I want to be Your servant
I desire to be a blessing
In Your eyes, in Your eyes"
358,Trust and Obey,John H Sammis/Daniel B Towner,Unknown,,"Verse 1:
When we walk with the Lord in the light of His Word
What a glory He sheds on our way!
While we do His good will, He abides with us still
And with all who will trust and obey

Chorus:
Trust and obey, for there's no other way
To be happy in Jesus, but to trust and obey

Verse 2:
Not a shadow can rise, not a cloud in the skies
But His smile quickly drives it away
Not a doubt or a fear, not a sigh or a tear
Can abide while we trust and obey 

Verse 3:
Not a burden we bear, not a sorrow we share
But our toil He doth richly repay
Not a grief or a loss, not a frown or a cross
But is blessed if we trust and obey 

Verse 4:
But we never can prove the delights of His love
Until all on the altar we lay
For the favor He shows, for the joy He bestows
Are for them who will trust and obey

Verse 5:
Then in fellowship sweet we will sit at His feet
Or we'll walk by His side in the way
What He says we will do, where He sends we will go
Never fear, only trust and obey"
359,"Have Thine Own Way, Lord",Adelaide A. Pollard/George C. Stebbins,Unknown,,"Verse 1:
Have Thine own way, Lord! Have Thine own way!
Thou art the Potter, I am the clay
Mold me and make me after Thy will
While I am waiting, yielded and still 

Verse 2:
Have Thine own way, Lord! Have Thine own way!
Search me and try me, Master, today
Whiter than snow, Lord, wash me just now
As in Thy presence humbly I bow

Verse 3:
Have Thine own way, Lord! Have Thine own way!
Wounded and weary, help me, I pray
Power, all power, surely is Thine
Touch me and heal me, Savior divine

Verse 4:
Have Thine own way, Lord! Have Thine own way!
Hold o'er my being absolute sway
Fill with Thy Spirit till all shall see
Christ only, always, living in me"
360,"Hosanna, Hosanna",Carl Tuttle,Mercy/Vineyard,1985,"Verse 1:
Hosanna, hosanna,
Hosanna in the highest
Hosanna, hosanna,
Hosanna in the highest

Chorus 1:
Lord we lift up Your name
With a heart full of praise
Be exalted, oh Lord my God
Hosanna in the highest

Verse 2:
Glory, glory,
Glory to the King of kings
Glory, glory,
Glory to the King of kings

Chorus 2:
Lord we lift up Your name
With a heart full of praise
Be exalted, oh Lord my God
Glory to the King of kings"
361,Change My Heart Oh God,Eddie Espinosa,Mercy/Vineyard,1982,"Verse:
Change my heart oh God
Make it ever true
Change my heart oh God
May I be like You

Chorus:
You are the potter 
I am the clay
Mold me and make me
This is what I pray"
362,"Here I Am, Lord",Dan Schutte,Dan Schutte and OCP Publications,1981,"Verse 1:
I, the Lord of sea and sky,
I have heard my people cry.
All who dwell in dark and sin
My hand will save.
I who make the stars of night,
I will make their darkness bright.
Who will bear my light to them?
Whom shall I send?

Chorus:
Here I am, Lord. Is it I, Lord?
I have heard you calling in the night.
I will go, Lord, if you lead me.
I will hold your people in my heart.

Verse 2:
I, the Lord of snow and rain,
I have borne my people's pain.
I have wept for love of them.
They turn away.
I will break their hearts of stone,
Give them hearts for love alone.
I will speak my words to them.
Whom shall I send?

Verse 3:
I, the Lord of wind and flame,
I will tend the poor and lame.
I will set a feast for them.
My hand will save.
Finest bread I will provide,
'Til their hearts be satisfied.
I will give my life to them.
Whom shall I send?
"
363,God Of This City,Bluetree,worshiptogether.com/sixsteps,2006,"Verse (part 1):
You're the God of this city  
You're the King of these people  
You're the Lord of this nation, You are

Verse (part 2):
You're the light in this darkness  
You're the hope to the hopeless  
You're the peace to the restless, You are

Pre-Chorus:
There is no one like our God  
There is no one like our God  

Chorus (part 1):
For greater things have yet to come  
And greater things are still to be done in this city
For greater things have yet to come  
And greater things are still to be done in this city

Chorus (part 2):
For greater things have yet to come  
And greater things are still to be done in this city
For greater things have yet to come  
And greater things have still to be done here"
364,My Savior My God,"Aaron Shust, Dorothy Dora Greenwell",Bridge Building,2005,"Verse 1:
I am not skilled to understand 
What God has willed, what God has planned 
I only know at His right hand
Stands one who is my Savior 

Verse 2:
I take him at His word and deed 
Christ died to save me, this I read 
And in my heart I find a need 
For Him to be my Savior 

Pre-Chorus:
That He would leave His place on high
And come for sinful man to die
You count it strange, so once did I
Before I knew my Savior 

Chorus: 
My Savior loves, my Savior lives 
My Savior's always there for me 
My God He was, my God He is 
My God He's always gonna be 

Verse 3:
Yes, living, dying, let me bring 
My strength, my solace from this spring 
That He who lives to be my King 
Once died to be my Savior "
373,This Is How We Know,"Matt Redman, Beth Redman",Thankyou/sixsteps/Said And Done,2009,"Verse:
This is how we know
This is how we know what love is
Just one look at Your cross
And this is where we see
This is where we see how love works
For You surrendered Your all

Verse (part 2):
And this is how we know 
That You have loved us first
This is where we chose 
To love You in return

Chorus:
For You so loved the world 
That You gave Your only Son
Love amazing, so divine
We will love You in return

Chorus (part 2):
For this life that You give
For this death that You have died
Love amazing, so divine
We will love You in reply, Lord

Bridge:
Our love will be loud
Our love will be strong
Our love shall be hands and feet
That serve You in this world

Bridge (part 2):
So let us stay true
And let it endure
That You will be glorified
Worshiped and adored

Ending:
King Jesus we love You, for we have been loved
King Jesus we love You, for we have been loved
King Jesus we love You, for we have been loved
King Jesus we love You, for we have been loved
We have been loved"
365,"Praise the Father, Praise the Son","Chris Tomlin, Ed Cash",worshiptogether.com/sixsteps/vamos/alltrop,2008,"Verse 1:
O sovereign God, O matchless King
The saints adore, the angels sing
And fall before the throne of grace
To You belongs the highest praise

Verse 2:
These sufferings, this passing tide
Under Your wings I will abide
And every enemy shall flee
You are my hope and victory 

Chorus:
Praise the Father, Praise the Son 
Praise the Spirit, Three in One
Clothed in power and in grace
The name above all other names

Verse 3:
To the valley, for my soul
Thy great descent has made me whole
Your word my heart has welcomed home
Now peace like water ever flows

Bridge:
Yours is the kingdom, Yours is the power
Yours is the glory 
Forever"
366,I Will Rise,"Chris Tomlin, Jesse Reeves, Louie Giglio, Matt M",worshiptogether.com/sixsteps/Vamos/Thankyou,2008,"Verse1:
There's a peace I've come to know
Though my heart and flesh may fail
There's an anchor for my soul, I can say, 'It is well!'

Pre-Chorus:
Jesus has overcome and the grave is overwhelmed
The victory is won, He is risen from the dead

Chorus:
And I will rise when He calls my name
No more sorrow, no more pain
I will rise on eagle's wings, before my God, fall on my knees
And rise I will rise

Verse 2:
There's a day that's drawing near, when this darkness breaks to light
And the shadows disappear, and my faith shall be my eyes

Bridge:
And I hear the voice of many angels sing
Worthy is the Lamb
And I hear the cry of every longing heart
Worthy is the Lamb"
368,"Oh Lord, You're Beautiful",Keith Green,Birdwing Music,1980,"Verse 1:
Oh Lord, You're Beautiful.
Your face is all I seek.
For when Your eyes are on this child,
Your grace abounds to me."
369,Our Great God,"Fernando Ortega, Mac Powell",New Spring/Word Music/Dejamesolo,2002,"Verse 1:
Eternal God, unchanging, mysterious and unknown
Your boundless love unfailing, in grace and mercy shown
Bright seraphim in ceaseless flight around your glorious throne
They raise their voices day and night in praise to you alone

Chorus:
Hallelujah! Glory be to our great God!
Hallelujah! Glory be to our great God!

Verse 2:
Lord, we are weak and frail, helpless in the storm
Surround us with your angels, hold us in your arms
Our cold and ruthless enemy, his pleasure is our harm
Rise up, oh Lord, and he will flee before our Sovereign God

Verse 3:
Let every creature in the sea and every flying bird
Let every mountain, every field and valley of the earth
Let all the moons and all the stars in all the universe
Sing praises to the living God, who rules them by His word
"
370,At The Cross,"Darlene Zschech, Reuben Morgan",Hillsong,2006,"Verse 1 (part 1):
Oh Lord You've searched me
You know my way
Even when I fail You
I know You love me

Verse 1 (part 2):
Your holy presence
Surrounding me
In every season
I know You love me
I know You love me

Chorus:
At the cross I bow my knee
Where Your blood was shed for me
There's no greater love than this
You have overcome the grave
Your glory fills the highest place
What can separate me now?

Verse 2:
You go before me
You shield my way
Your hand upholds me
I know You love me

Bridge:
You tore the veil, You made a way
When You said that it is done
You tore the veil, You made a way
When You said that it is done

Verse 3:
And when the earth fades
Falls from my eyes
And You stand before me
I know You love me
I know You love me"
374,Thy Word,"Amy Grant, Michael W. Smith",Meadowgreen Music / Word Music,1984,"Chorus:
Thy Word is a lamp unto my feet 
And a light unto my path
Thy Word is a lamp unto my feet 
And a light unto my path

Verse 1:
When I feel afraid, think I've lost my way
Still You're there right beside me
And nothing will I fear as long as you are near
Please be near me to the end

Verse 2:
I will not forget Your love for me and yet
My heart forever is wandering
Jesus be my guide, and hold me to your side
I will love you to the end
"
375,Lead Me To The Cross,Brooke Fraser,Hillsong United,,"Verse 1:
Savior I come
Quiet my soul remember
Redemptions hill
Where Your blood was spilled
For my ransom

Bridge:
Everything I once held dear
I count it all as lost

Chorus:
Lead me to the cross
Where Your love poured out
Bring me to my knees
Lord I lay me down
Rid me of myself
I belong to You
Lead me, lead me to the cross

Verse 2:
You were as I
Tempted and trialed, human
Your word became flesh
Bore my sin and death
Now you're risen

Bridge2:
To your heart
To your heart
Lead me to your heart
Lead me to your heart"
376,Yes You Have,Leeland,"Matthe Bronleewe, Leeland Mooring, Jack Mooring",2006,"Verse 1:
Every tree and every stone
Every rushing wind that moans
They sing Your praise
My God, they sing Your praise

Every star and open sky
Tell of Your glory divine
They shout Your praise
They shout Your praise, yeah

Chorus:
You've stolen my heart, yes You have
You've stolen my heart, yes You have
You've wiped away the stains
And broke away the chains, yes You have

Verse 2:
With Your love you set me free
Three nails gave me liberty
So I'll sing Your praise
My God I'll sing Your praise

With Your love You forgave my sin
Forgot my past and brought me back again
So I'll sing Your praise
I'll sing Your praise, yeah

Bridge:
If I ascend into the sky
Or hide behind the night
I cannot run, Your love is chasing me
If I fall into the sea
Your hand will rescue me
No one will take Your place because

This is all for You
Yes, this is all for You
You're the King of the world
You're the King of the world

You're the King of the world (I can't run from Your love)
You're the King of the world (I can't escape Your love)
You're the King of the world (I can't run from Your love)
You're the King of the world (I can't escape Your love)"
378,Come People of the Risen King,"Keith Getty, Kristyn Getty, Stuart Townsend",Thankyou Music,2009,"Verse 1:
Come people of the risen King
Who delight to bring Him praise
Come all and tune your hearts to sing
To the Morning Star of grace
From the shifting shadows of the earth
We will lift our eyes to Him
Where steady arms of mercy reach
To gather children in

Chorus:
Rejoice Rejoice
Let every tongue rejoice
One heart one voice
O Church of Christ rejoice

Verse 2:
Come those whose joy is morning sun
And those weeping through the night
Come those who tell of battles won
And those struggling in the fight
For His perfect love will never change
And His mercies never cease
But follow us through all our days
With the certain hope of peace

Verse 3:
Come young and old from every land
Men and women of the faith 
Come those with full or empty hands
Find the riches of His grace
Over all the world His people sing
Shore to shore we hear them call
The Truth that cries through every age
Our God is all in all"
393,Doxology,Thomas Ken,Public Domain,,"Praise God, from Whom all blessings flow
Praise Him, All creatures here below
Praise Him Above, Ye Heavenly Host
Praise Father, Son and Holy Ghost
Amen 
"
394,The Stand (chorus),Joel Houston,Hillsong,2005,"Chorus: 
I'll stand 
With arms high and heart abandoned
In awe of the One who gave it all
I'll stand 
My soul Lord to You surrendered
All I am is Yours"
395,"Rock of Ages, Cleft for Me",Augustus M. Toplady,Public Domain,1776,"Verse 1:
Rock of Ages, cleft for me,
Let me hide myself in Thee;
Let the water and the blood,
From Thy wounded side which flowed,
Be of sin the double cure,
Save from wrath and make me pure.
Verse 2:
Not the labor of my hands
Can fulfill Thy law's demands;
Could my zeal no respite know,
Could my tears forever flow,
All for sin could not atone;
Thou must save, and Thou alone.
Verse 3:
Nothing in my hand I bring,
Simply to Thy cross I cling;
Naked, come to Thee for dress;
Helpless, look to Thee for grace;
Foul, I to the fountain fly;
Wash me, Savior, or I die.
Verse 4:
While I draw this fleeting breath,
When my eyes shall close in death,
When I rise to worlds unknown,
And behold Thee on Thy throne,
Rock of Ages, cleft for me,
Let me hide myself in Thee.
"
396,Desert Song,Brooke Fraser,Hillsong,,"Verse 1:
This is my prayer in the desert
And all that's within me feels dry
This is my prayer in my hunger and need
My God is the God who provides

Verse 2:
And this is my prayer in the fire
In weakness or trial or pain
There is a faith proved
Of more worth than gold
So refine me Lord through the flames

Chorus:
And I will bring praise
I will bring praise
No weapon formed against me shall remain

I will rejoice
I will declare
God is my victory and He is here

Verse 3:
And this is my prayer in the battle
When triumph is still on it's way
I am a conqueror and co-heir with Christ
So firm on His promise I'll stand

Bridge:
All of my life
In every season
You are still God
I have a reason to sing
I have a reason to worship

Verse 4:
This is my prayer in the harvest
When favor and providence flow
I know I'm filled to be emptied again
The seed I've recieved I will sow
"
397,Name Above All Names,"Pat Sczebel, Joel Sczebel",Sovereign Grace Worship,2011,"Verse 1 (part 1):
From the brightness of His glory 
Jesus, the Son of God descends 
Takes on the nature of a servant 
Jesus, obedient to death 

Verse 1 (part 2):
The Father willed to crush Him 
As a sacrifice for sin 
He satisfied God's justice 
And in vict'ry rose again 

Chorus: 
You are highly exalted 
Name above all names, worthy of all praise
You are reigning in glory
Jesus, you're the King over everything
Exalted to the highest place
Given the name above all other names

Verse 2 (part 1): 
The tomb is empty Christ has risen
Jesus the lamb once crucified
The angels never cease to worship
Jesus, in heaven glorified

Verse 2 (part 2): 
To Him belongs the power
The wisdom, might, and strength 
All glory and dominion 
To the Lord of every age

Bridge: 
Our knees will bow
Our tongues proclaim
That You are Lord of all

Ending: 
You are highly exalted 
Name above all names, worthy of all praise
You are reigning in glory
Jesus, you're the King over everything
Exalted to the highest place
Given the name above all other names
"
402,This is Our God (Hillsong),Reuben Morgan,Hillsong Music Publishing,2008,"Chorus 1:
And I will fall at Your feet
I will fall at Your feet
And I will worship You here

Verse 1:
Your grace is enough
More than I need
At Your word I will believe
I wait for You
Draw near again
Let Your Spirit make me new

Verse 2:
Your presence in me
Jesus light the way
By the power of Your word
I am restored
I am redeemed
By Your Spirit I am free

Bridge:
Freely You gave it all for us
Surrendered Your life upon that cross
Great is the love poured out for all
This is our God
Lifted on high from death to life
Forever our God is glorified
Servant and King rescued the world
This is our God"
429,All I Have Is Christ,Jordan Kauflin,Sovereign Grace Praise,2008,"Verse 1:
I once was lost in darkest night
Yet thought I knew the way
The sin that promised joy and life
Had led me to the grave
I had no hope that You would own
A rebel to Your will
And if You had not loved me first
I would refuse You still

Verse 2:
But as I ran my hell-bound race
Indifferent to the cost
You looked upon my helpless state
And led me to the cross
And I beheld God's love displayed
You suffered in my place
You bore the wrath reserved for me
Now all I know is grace

Chorus:
Hallelujah! All I have is Christ
Hallelujah! Jesus is my life

Verse 3:
Now, Lord, I would be Yours alone
And live so all might see
The strength to follow Your commands
Could never come from me
Oh Father, use my ransomed life
In any way You choose
And let my song forever be
My only boast is You"
423,Awesome God,Rich Mullins,BMG Songs,1988,"Chorus:
Our God is an awesome God
He reigns from heaven above
With wisdom, power and love
Our God is an awesome God"
424,Overcome,Jon Egan,Vertical Worship Songs,2007,"Verse 1:
Seated above, enthroned in the Father's love
Destined to die, poured out for all mankind

Verse 2:
God's only Son, perfect and spotless one
He never sinned but suffered as if He did

Pre-Chorus:
All authority, every victory is Yours
All authority, every victory is Yours

Chorus:
Savior, worthy of honor and glory
Worthy of all our praise, You overcame
Jesus, awesome in power forever
Awesome and great is Your name, You overcame

Verse 3:
Power in hand speaking the Father's plan
Sending us out, light in this broken land

Bridge:
We will overcome, by the blood of the Lamb
And the word of our testimony, everyone overcome"
425,Break Every Chain,Will Reagan,United Pursuit Music,2009,"Verse 1:
There is power in the name of Jesus
There is power in the name of Jesus
There is power in the name of Jesus

Chorus:
To break every chain
Break every chain
Break every chain

Verse 2:
All sufficient sacrifice
So freely given
Such a price
Bought our redemption
Heaven's gates swing wide

Verse 1:
There is power in the name of Jesus
There is power in the name of Jesus
There is power in the name of Jesus

Chorus: 
To Break every chain
Break every chain
Break every chain

Verse 3: 
There's an army rising up
There's an army rising up
There's an army rising up
 
Chorus: 
To Break every chain
Break every chain
Break every chain"
426,Your Love Never Fails,"Anthony Skinner, Chris McClarney",Thankyou Music,2008,"Verse 1:
Nothing can separate
Even if I ran away
Your love never fails
I know I still make mistakes
But You have new mercies for me everyday
Your love never fails

Chorus:
You stay the same through the ages
Your love never changes
There may be pain in the night but joy comes in the morning
And when the oceans rage
I don't have to be afraid
Because I know that You love me
Your love never fails

Verse 2:
The wind is strong and the water's deep but
I'm not alone in these open seas
Cause Your love never fails
The chasm is far too wide
I never thought I'd reach the other side
But Your love never fails

Bridge:
You make, all things, work together for my good"
427,Love Came Down,"Johnson, Brian",Bethel Music,2009,"Verse 1:
If my heart is overwhelmed
And I cannot hear Your voice
I hold on to what is true
Though I cannot see

Verse 1b:
If the storms of life they come
And the road ahead gets steep
I will lift these hands in faith
I will believe

Verse 1c:
I'll remind myself
Of all that You've done
And the life I have
Because of Your son

Chorus:
Love came down and rescued me
Love came down and set me free
I am Yours
Lord I'm forever Yours
Mountains high or valley low
I sing out and remind my soul
I am Yours
I am forever Yours

Verse 2:
When my heart is filled with hope
Every promise comes my way
When I feel Your hands of grace
Rest upon me

Verse 2b:
Staying desperate for You, God
Staying humble at Your feet
I will lift these hands in praise
I will believe

Verse 2c:
I'll remind myself
Of all that You've done
And the life I have
Because of Your son"
428,When the Tears Fall,Tim Hughes,Thankyou Music,2003,"Verse 1:
I've had questions, without answers
I've known sorrow, I have known pain
But there's one thing, that I'll cling to
You are faithful, Jesus You're true 

Pre-Chorus:
When hope is lost, I'll call You Saviour
When pain surrounds, I'll call You healer
When silence falls, You'll be the song within my heart

Verse 2:
In the lone hour of my sorrow
Through the darkest night of my soul
You surround me and sustain me
My defender, forevermore 

Chorus:
I will praise You, I will praise You
When the tears fall, still I will sing to You
I will praise You, Jesus praise You
Through the suffering still I will sing"
401,Still,Reuben Morgan,Hillsong Music,2002,"Verse 1:
Hide me now
Under your wings
Cover me
Within Your mighty hands

Chorus:
When the oceans rise and thunders roar
I will soar with You, above the storm
Father, You are king over the flood
I will be still and know You are God

Verse 2:
Find rest my soul, in Christ alone
Know His power, in quietness and trust"
403,Blessed Is The One (Psalm 32),Doug Plank, Sovereign Grace Worship (ASCAP),2008,"Verse 1:
Blessed is the one whose sins are overcome
Whom God has sheltered deep within His grace
Blessed is the one who trusts in God the Son
His steadfast love the sinner's hiding place

Chorus:
Jesus, Your blood covers all my sin
Jesus, Your love draws my heart to sing
What a Savior, Jesus

Verse 1:
I will always hide at my Savior's side
I find my refuge in His sovereign care
When the waters rise, God will hear my cries
His steadfast love will hold me safely there"
404,The More I Seek You,Zach Neese,Gateway Create Publishing,1999,"Verse 1:
The more I seek you
The more I find you
The more I find you
The more I love you

Chorus:
I wanna sit at your feet
Drink from the cup in your hand
Lay back against you and breathe
Hear your heart beat

This love is so deep
It's more than I can stand
I melt in your peace
It's overwhelming"
